Dia,Energia Diaria [kW-h]
256,0.7301805607093245
257,0.7322256939943296
258,0.734236789133903
259,0.7362128713035916
260,0.7381530104062335
261,0.740056321600404
262,0.7419219657708003
263,0.7437491499419278
264,0.7455371276365368
265,0.7472851991803429
266,0.7489927119546258
267,0.7506590605983602
268,0.7522836871615575
269,0.753866081211525
270,0.7554974795670371
271,0.7569023679491229
272,0.7583554776891558
273,0.7597647889308773
274,0.7611300288929694
275,0.7624509720547069
276,0.7638199526162286
277,0.7649593011020028
278,0.766239219169519
279,0.7672889095517602
280,0.7683866257571067
281,0.7694396722742357
282,0.7704481476172009
283,0.7714121952494657
284,0.772425354678275
285,0.7732078034269324
286,0.7741333894332899
287,0.7748285268110296
288,0.7755741300571009
289,0.776277084823818
290,0.7769378359153615
291,0.7775568689630609
292,0.7782286252547519
